link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,agent_type_code,geometry
,West Lakeside Drive,208,204,,1,1,0.011980066,1,60,1800,,"LINESTRING (-111.945036 33.430767 ,-111.945244 33.430765 )"
,West Lakeside Drive,204,69,,1,1,0.136478308,1,60,1800,,"LINESTRING (-111.945244 33.430765 ,-111.947341 33.430820 )"
,West Lakeside Drive,69,204,,1,1,0.136478308,1,60,1800,,"LINESTRING (-111.947341 33.430820 ,-111.945244 33.430764 )"
,nan,204,206,,1,1,0.017566207,1,60,1800,,"LINESTRING (-111.945244 33.430765 ,-111.945132 33.430554 )"
,nan,206,2354,,1,1,0.01340301,1,60,1800,,"LINESTRING (-111.945132 33.430554 ,-111.945364 33.430548 )"
,nan,2354,206,,1,1,0.01340301,1,60,1800,,"LINESTRING (-111.945364 33.430547 ,-111.945132 33.430553 )"
,nan,206,2353,,1,1,0.01161967,1,60,1800,,"LINESTRING (-111.945132 33.430553 ,-111.944930 33.430559 )"
,nan,2353,206,,1,1,0.01161967,1,60,1800,,"LINESTRING (-111.944930 33.430559 ,-111.945132 33.430554 )"
,nan,206,208,,1,1,0.017765047,1,60,1800,,"LINESTRING (-111.945132 33.430554 ,-111.945036 33.430767 )"
,East Cedar Street,207,2589,,1,1,0.094548076,1,60,1800,,"LINESTRING (-111.910815 33.411634 ,-111.912455 33.411634 )"
,East Cedar Street,2589,207,,1,1,0.094548076,1,60,1800,,"LINESTRING (-111.912455 33.411633 ,-111.910815 33.411633 )"
,West Lakeside Drive,208,204,,1,1,0.011980066,1,60,1800,,"LINESTRING (-111.945036 33.430767 ,-111.945244 33.430765 )"
,West Lakeside Drive,204,208,,1,1,0.011980066,1,60,1800,,"LINESTRING (-111.945244 33.430764 ,-111.945036 33.430767 )"
,West Lakeside Drive,208,203,,1,1,0.021219879,1,60,1800,,"LINESTRING (-111.945036 33.430767 ,-111.944668 33.430771 )"
,West Lakeside Drive,203,208,,1,1,0.021219879,1,60,1800,,"LINESTRING (-111.944668 33.430771 ,-111.945036 33.430767 )"
,South Forest Avenue,216,1999,,1,1,0.006033529,1,60,1800,,"LINESTRING (-111.936662 33.421904 ,-111.936662 33.421991 )"
,South Forest Avenue,1999,216,,1,1,0.006033529,1,60,1800,,"LINESTRING (-111.936662 33.421991 ,-111.936663 33.421904 )"
,East University Drive,216,218,,1,1,0.098829334,1,60,1800,,"LINESTRING (-111.936662 33.421904 ,-111.934966 33.421949 )"
,South Forest Avenue,216,4318,,1,1,0.042228491,1,60,1800,,"LINESTRING (-111.936663 33.421904 ,-111.936641 33.421293 )"
,South Forest Avenue,4318,216,,1,1,0.042228491,1,60,1800,,"LINESTRING (-111.936640 33.421293 ,-111.936662 33.421904 )"
,South College Avenue,218,317,,1,1,0.087377434,1,60,1800,,"LINESTRING (-111.934966 33.421949 ,-111.934990 33.423213 )"
,South College Avenue,317,218,,1,1,0.087377434,1,60,1800,,"LINESTRING (-111.934990 33.423213 ,-111.934966 33.421949 )"
,East University Drive,218,1999,,1,1,0.098941181,1,60,1800,,"LINESTRING (-111.934966 33.421949 ,-111.936662 33.421991 )"
,East University Drive,218,220,,1,1,0.347452993,1,60,1800,,"LINESTRING (-111.934966 33.421949 ,-111.928941 33.422019 )"
,East University Drive,220,218,,1,1,0.347452993,1,60,1800,,"LINESTRING (-111.928942 33.422020 ,-111.934966 33.421949 )"
,South Una Butte Avenue,219,1646,,1,1,0.064057315,1,60,1800,,"LINESTRING (-111.912346 33.415789 ,-111.912339 33.414862 )"
,South Una Butte Avenue,1646,219,,1,1,0.064057315,1,60,1800,,"LINESTRING (-111.912338 33.414862 ,-111.912346 33.415789 )"
,South Una Avenue,219,1888,,1,1,0.113431593,1,60,1800,,"LINESTRING (-111.912346 33.415789 ,-111.912867 33.417070 )"
,South Una Avenue,1888,219,,1,1,0.113431593,1,60,1800,,"LINESTRING (-111.912868 33.417070 ,-111.912346 33.415789 )"
,South Butte Avenue,219,2049,,1,1,0.051014702,1,60,1800,,"LINESTRING (-111.912346 33.415789 ,-111.911797 33.416150 )"
,South Butte Avenue,2049,219,,1,1,0.051014702,1,60,1800,,"LINESTRING (-111.911798 33.416150 ,-111.912346 33.415790 )"
,East University Drive,220,218,,1,1,0.347452993,1,60,1800,,"LINESTRING (-111.928942 33.422020 ,-111.934966 33.421949 )"
,East University Drive,218,220,,1,1,0.347452993,1,60,1800,,"LINESTRING (-111.934966 33.421949 ,-111.928941 33.422019 )"
,East University Drive,220,4331,,1,1,0.085507102,1,60,1800,,"LINESTRING (-111.928941 33.422019 ,-111.927459 33.422013 )"
